100 474
39 67 2
39 90 5
40 44 9
40 65 8
40 68 7
40 72 10
40 95 7
41 59 4
41 74 10
41 82 4
41 95 9
42 44 3
42 59 8
42 66 7
42 72 2
42 75 6
43 55 4
43 59 10
43 63 7
43 91 7
43 96 10
44 47 6
44 56 9
44 58 4
44 63 3
44 65 2
44 73 10
44 86 8
44 96 2
45 50 10
45 63 10
45 72 8
45 78 6
45 82 9
45 98 2
45 99 8
46 55 3
46 72 5
46 97 7
48 49 2
48 61 10
48 80 2
49 61 10
49 72 7
49 76 6
49 87 8
50 57 1
50 65 2
50 66 4
50 82 3
50 83 10
50 92 1
51 52 3
51 57 3
51 79 8
52 56 9
52 57 5
52 75 7
52 96 10
52 97 10
52 98 8
53 54 4
53 89 4
53 91 6
53 97 5
54 78 10
54 93 5
54 94 7
54 98 6
55 56 2
55 62 10
55 66 1
55 90 10
55 93 9
56 63 7
56 73 3
56 86 5
57 82 1
57 83 6
57 87 9
57 89 1
57 90 1
58 64 9
58 69 6
58 71 2
58 80 5
58 81 1
58 95 4
59 72 7
59 74 10
59 82 7
59 85 6
59 88 7
60 74 7
60 87 7
60 99 7
61 82 9
62 66 4
62 76 3
63 64 8
63 79 3
63 84 4
63 87 9
63 90 7
63 93 6
64 69 7
64 95 3
65 66 5
65 70 3
65 74 3
66 69 1
66 70 2
66 89 1
66 91 3
67 71 8
67 81 7
67 97 3
67 98 2
68 72 3
68 74 7
68 79 8
69 77 10
69 82 7
69 86 10
70 73 3
70 79 8
70 88 9
70 93 7
70 95 9
71 75 8
71 76 7
71 80 6
73 76 4
73 84 3
73 91 7
74 81 10
74 82 1
74 92 10
74 96 8
75 77 4
75 87 9
75 89 5
75 91 7
76 80 9
76 84 10
76 90 6
76 97 1
77 82 1
77 87 10
77 91 8
78 80 6
78 83 2
78 88 10
78 90 8
78 96 2
79 82 3
79 90 9
80 88 5
80 94 8
84 91 9
84 93 2
84 99 9
85 94 10
86 94 2
87 90 4
87 98 8
94 97 2
95 99 9
5
1 1
63 87 9
74 39 10
1 1
2 58 1
43 68 1
1 1
30 59 9
58 65 8
1 1
37 74 5
93 42 7
1 1
21 87 6
88 76 5
